,country,total_cases,new_cases,total_deaths,new_deaths,total_rec,active_cases,critical,tot_cases_1mpop,deaths_1mpop,total_tests,tests_1mpop,demo_idx,gdp
1,USA,990021,2861.0,55499.0,86.0,118869,815653,15143.0,2991.0,168.0,5530655.0,16709.0,7.96,67426.0
2,Spain,229422,2793.0,23521.0,331.0,120832,85069,7764.0,4907.0,503.0,1345560.0,28779.0,8.29,43007.0
3,Italy,197675,,26644.0,,64928,106103,2009.0,3269.0,441.0,1757659.0,29071.0,7.52,41582.0
4,France,162100,,22856.0,,44903,94341,4682.0,2483.0,350.0,463662.0,7103.0,8.12,48640.0
5,Germany,158142,372.0,5985.0,9.0,114500,37657,2570.0,1887.0,71.0,2072669.0,24738.0,8.68,55306.0
6,UK,152840,,20732.0,,N/A,131764,1559.0,2251.0,305.0,669850.0,9867.0,8.52,48169.0
7,Turkey,110130,,2805.0,,29140,78185,1776.0,1306.0,33.0,898742.0,10656.0,4.09,29327.0
8,Iran,91472,991.0,5806.0,96.0,70933,14733,3011.0,1089.0,69.0,432329.0,5147.0,2.38,17832.0
9,Russia,87147,6198.0,794.0,47.0,7346,79007,2300.0,597.0,5.0,3019434.0,20690.0,3.11,30820.0
10,China,82830,3.0,4633.0,1.0,77474,723,52.0,58.0,3.0,,,2.26,20984.0
11,Brazil,63328,469.0,4298.0,27.0,30152,28878,8318.0,298.0,20.0,291922.0,1373.0,6.86,17106.0
12,Canada,47319,424.0,2617.0,57.0,17846,26856,557.0,1254.0,69.0,707508.0,18746.0,9.22,52144.0
13,Belgium,46687,553.0,7207.0,113.0,10878,28602,903.0,4028.0,622.0,214042.0,18468.0,7.64,50904.0
14,Netherlands,38245,400.0,4518.0,43.0,N/A,33477,905.0,2232.0,264.0,193950.0,11319.0,9.01,60299.0
15,Switzerland,29164,103.0,1640.0,30.0,21800,5724,185.0,3370.0,189.0,245300.0,28343.0,9.03,67558.0
16,India,28380,490.0,886.0,5.0,6523,20971,,21.0,0.6,665819.0,482.0,6.9,9027.0
17,Peru,27517,,728.0,,8088,18701,554.0,835.0,22.0,232747.0,7059.0,6.6,15399.0
18,Portugal,24027,163.0,928.0,25.0,1357,21742,176.0,2356.0,91.0,330512.0,32414.0,8.03,34936.0
19,Ecuador,22719,,576.0,,1366,20777,127.0,1288.0,33.0,56513.0,3203.0,6.33,11866.0
20,Ireland,19262,,1087.0,,9233,8942,142.0,3901.0,220.0,127319.0,25785.0,9.24,86988.0
21,Sweden,18926,286.0,2274.0,80.0,1005,15647,399.0,1874.0,225.0,94500.0,9357.0,9.39,55989.0
22,Saudi Arabia,18811,1289.0,144.0,5.0,2531,16136,117.0,540.0,4.0,200000.0,5745.0,1.93,56912.0
23,Israel,15466,23.0,202.0,1.0,6796,8468,129.0,1787.0,23.0,302691.0,34971.0,7.86,40337.0
24,Austria,15274,49.0,549.0,7.0,12362,2363,140.0,1696.0,61.0,232537.0,25819.0,8.29,55171.0
25,Mexico,14677,835.0,1351.0,46.0,8354,4972,378.0,114.0,10.0,67635.0,525.0,6.09,21363.0
26,Singapore,14423,799.0,12.0,,1060,13351,22.0,2465.0,2.0,121774.0,20815.0,6.02,105689.0
27,Pakistan,13909,581.0,292.0,11.0,3029,10588,111.0,63.0,1.0,150756.0,682.0,4.25,6016.0
28,Japan,13441,,372.0,,1809,11260,296.0,106.0,3.0,149074.0,1179.0,7.99,46827.0
29,Chile,13331,,189.0,,7024,6118,418.0,697.0,10.0,155975.0,8159.0,8.08,27150.0
30,Poland,11761,144.0,539.0,4.0,2466,8756,160.0,311.0,14.0,297859.0,7870.0,6.62,35651.0
31,Romania,11339,303.0,631.0,12.0,3141,7567,227.0,589.0,33.0,143834.0,7477.0,6.49,29555.0
32,Belarus,11289,826.0,75.0,3.0,1740,9474,92.0,1195.0,8.0,153845.0,16281.0,2.48,21224.0
33,Qatar,11244,957.0,10.0,,1066,10168,72.0,3903.0,3.0,85709.0,29749.0,3.19,
34,S. Korea,10738,10.0,243.0,1.0,8764,1731,55.0,209.0,5.0,601660.0,11735.0,8.0,
35,UAE,10349,,76.0,,1978,8295,1.0,1046.0,8.0,1057326.0,106904.0,2.76,70441.0
36,Indonesia,9096,214.0,765.0,22.0,1151,7180,,33.0,3.0,75157.0,275.0,6.48,14841.0
37,Ukraine,9009,392.0,220.0,11.0,864,7925,110.0,206.0,5.0,93519.0,2138.0,5.9,10130.0
38,Denmark,8698,123.0,427.0,5.0,5959,2312,72.0,1502.0,74.0,155810.0,26900.0,9.22,55675.0
39,Serbia,8275,233.0,162.0,6.0,1209,6904,85.0,947.0,19.0,67917.0,7773.0,6.41,19767.0
40,Philippines,7777,198.0,511.0,10.0,932,6334,31.0,71.0,5.0,89889.0,820.0,6.64,10094.0
41,Norway,7554,27.0,205.0,4.0,32,7317,52.0,1393.0,38.0,164316.0,30310.0,9.87,79638.0
42,Czechia,7408,4.0,221.0,1.0,2600,4587,73.0,692.0,21.0,218474.0,20401.0,7.69,40585.0
43,Australia,6720,4.0,83.0,,5586,1051,43.0,264.0,3.0,517063.0,20277.0,9.09,54799.0
44,Dominican Republic,6293,158.0,282.0,4.0,993,5018,144.0,580.0,26.0,22498.0,2074.0,6.54,20625.0
45,Bangladesh,5913,497.0,152.0,7.0,131,5630,1.0,36.0,0.9,50401.0,306.0,5.88,5453.0
46,Malaysia,5820,40.0,99.0,1.0,3957,1764,37.0,180.0,3.0,144686.0,4470.0,7.16,34567.0
47,Panama,5779,241.0,165.0,6.0,369,5245,85.0,1339.0,38.0,26642.0,6175.0,7.05,28456.0
48,Colombia,5379,,244.0,,1133,4002,117.0,106.0,5.0,87199.0,1714.0,7.13,16265.0
49,Finland,4695,119.0,193.0,3.0,2500,2002,56.0,847.0,35.0,82437.0,14878.0,9.25,49548.0
50,South Africa,4546,,87.0,,1473,2986,36.0,77.0,1.0,168643.0,2843.0,7.24,13965.0
51,Egypt,4534,,317.0,,1176,3041,,44.0,3.0,90000.0,879.0,3.06,14800.0
52,Morocco,4115,50.0,161.0,,669,3285,1.0,111.0,4.0,28416.0,770.0,5.1,9667.0
53,Argentina,3892,,192.0,,1107,2593,144.0,86.0,4.0,49905.0,1104.0,7.02,19971.0
54,Luxembourg,3723,,88.0,,3104,531,22.0,5947.0,141.0,39003.0,62307.0,8.81,112045.0
55,Moldova,3481,73.0,102.0,6.0,925,2454,212.0,863.0,25.0,11763.0,2916.0,5.75,8161.0
56,Algeria,3382,,425.0,,1508,1449,40.0,77.0,10.0,6500.0,148.0,4.01,16091.0
57,Kuwait,3288,213.0,22.0,2.0,1012,2254,64.0,770.0,5.0,,,3.93,67891.0
58,Thailand,2931,9.0,52.0,1.0,2609,270,61.0,42.0,0.7,178083.0,2551.0,6.32,21361.0
59,Kazakhstan,2835,118.0,25.0,,720,2090,35.0,151.0,1.0,205560.0,10948.0,2.94,30178.0
60,Bahrain,2647,,8.0,,1189,1450,2.0,1556.0,5.0,114110.0,67061.0,2.55,51991.0
61,Hungary,2583,83.0,280.0,8.0,498,1805,61.0,267.0,29.0,65625.0,6793.0,6.63,35941.0
62,Greece,2517,,134.0,,577,1806,46.0,241.0,13.0,64608.0,6199.0,7.43,31616.0
63,Oman,2049,51.0,10.0,,364,1675,3.0,401.0,2.0,,,3.06,48593.0
64,Croatia,2039,9.0,59.0,4.0,1166,814,21.0,497.0,14.0,32817.0,7994.0,6.57,29207.0
65,Uzbekistan,1887,18.0,8.0,,880,999,8.0,56.0,0.2,242536.0,7247.0,2.01,9595.0
66,Iraq,1820,,87.0,,1263,470,,45.0,2.0,71471.0,1777.0,3.74,18755.0
67,Armenia,1808,62.0,29.0,1.0,848,931,10.0,610.0,10.0,18547.0,6259.0,5.54,11845.0
68,Iceland,1792,,10.0,,1608,174,3.0,5251.0,29.0,46352.0,135833.0,9.58,56974.0
69,Afghanistan,1703,172.0,57.0,7.0,220,1426,7.0,44.0,1.0,8694.0,223.0,2.85,2182.0
70,Azerbaijan,1678,33.0,22.0,1.0,1162,494,15.0,165.0,2.0,128807.0,12704.0,2.75,19156.0
71,Estonia,1647,4.0,50.0,1.0,233,1364,7.0,1242.0,38.0,48406.0,36491.0,7.9,37606.0
72,Cameroon,1621,,56.0,,786,779,12.0,61.0,2.0,,,2.85,4099.0
73,Bosnia and Herzegovina,1565,49.0,60.0,1.0,659,846,4.0,477.0,18.0,26822.0,8175.0,4.86,14894.0
74,Ghana,1550,,11.0,,155,1384,4.0,50.0,0.4,100622.0,3238.0,6.63,7343.0
75,New Zealand,1469,,19.0,1.0,1180,270,1.0,305.0,4.0,123920.0,25698.0,9.26,42045.0
76,Lithuania,1449,11.0,41.0,,474,934,17.0,532.0,15.0,106775.0,39223.0,7.5,38751.0
77,Slovenia,1402,6.0,83.0,1.0,221,1098,22.0,674.0,40.0,49607.0,23862.0,7.5,40344.0
78,North Macedonia,1399,13.0,65.0,4.0,553,781,13.0,672.0,31.0,15120.0,7257.0,5.97,17378.0
79,Slovakia,1381,2.0,18.0,,403,960,7.0,253.0,3.0,74099.0,13572.0,7.17,38321.0
80,Cuba,1369,,54.0,,501,814,12.0,121.0,5.0,39828.0,3516.0,2.84,
81,Bulgaria,1363,63.0,58.0,2.0,206,1099,41.0,196.0,8.0,27000.0,3886.0,7.03,26034.0
82,Nigeria,1273,,40.0,,239,994,2.0,6.0,0.2,10918.0,53.0,4.12,6172.0
83,Ivory Coast,1150,,14.0,,468,668,,44.0,0.5,,,4.05,
84,Hong Kong,1038,,4.0,,787,247,4.0,138.0,0.5,145640.0,19426.0,6.02,66527.0
85,Djibouti,1023,,2.0,,411,610,,1035.0,2.0,11741.0,11884.0,2.77,5855.0
86,Guinea,996,,7.0,,208,781,,76.0,0.5,,,3.14,2574.0
87,Bolivia,950,84.0,50.0,4.0,80,820,3.0,81.0,4.0,5791.0,496.0,4.84,8525.0
88,Tunisia,949,,38.0,,216,695,20.0,80.0,3.0,20818.0,1761.0,6.72,13093.0
89,Latvia,818,6.0,13.0,1.0,267,538,5.0,434.0,7.0,49235.0,26103.0,7.49,32987.0
90,Cyprus,817,,14.0,,148,655,15.0,677.0,12.0,43542.0,36064.0,7.59,42956.0
